bias_context,bias_large,bias_small,cf_class_name,cf_standard_cm,class_name,conflict_direction,conflict_receiver_id,donor_kind,expected_label,family,gate_asserted,gate_margin,gate_mode,gate_pred_label,gate_score_large,gate_score_small,item_id,kept,margin_bin,model,model_slug,patch_span,pred_label,receiver_group_id,reject_reason,score_large,score_small,side,size_margin,standard_cm,value_cm
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,2.323920846216568,bias_corrected,small,-0.11721597359422375,2.2067048726223444,size-standard_swap-ant-S102-V101-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.996366339772527,-7.571737477919136,base,1.4246288618533907,102,101
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.5674842287335773,bias_corrected,small,0.3537023072261576,1.9211865359597349,size-standard_swap-ant-S102-V101-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.525448058952145,-7.8572558145817455,cf,-0.6681922443703998,102,101
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,1.7796292222429058,bias_corrected,small,0.17196480088803945,1.9515940231309452,size-standard_swap-ant-S120-V110-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.707185565290263,-7.826848327410535,base,0.8803372378797283,120,110
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.2114972370894392,bias_corrected,small,0.5380079536183207,1.74950519070776,size-standard_swap-ant-S120-V110-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.341142412559982,-8.02893715983372,cf,-0.31220525272626176,120,110
standard_swap:t1,-8.879150366178303,-9.77844235054148,,50,ant,,,,small,standard_swap,True,1.5622449216451058,bias_corrected,small,0.574511313787939,2.1367562354330447,size-standard_swap-ant-S75-V61-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.304639052390364,-7.641686115108436,base,0.6629529372819283,75,61
standard_swap:t1,-8.879150366178303,-9.77844235054148,,50,ant,,,,large,standard_swap,True,-1.4860222439714974,bias_corrected,small,0.7291456953434441,2.2151679393149415,size-standard_swap-ant-S75-V61-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.150004670834859,-7.563274411226539,cf,-0.5867302596083199,75,61
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,1.8057972478002533,bias_corrected,small,0.14282723991165014,1.9486244877119034,size-standard_swap-ant-S150-V125-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.736323126266653,-7.829817862829577,base,0.9065052634370758,150,125
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.524496439266315,bias_corrected,small,0.4283277775032843,1.9528242167695993,size-standard_swap-ant-S150-V125-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.450822588675019,-7.825618133771881,cf,-0.6252044549031375,150,125
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,1.7188690185388626,bias_corrected,small,0.2936125414923687,2.0124815600312314,size-standard_swap-ant-S200-V150-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.585537824685934,-7.765960790510249,base,0.8195770341756852,200,150
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.472738091967801,bias_corrected,small,0.4078588238146441,1.8805969157824451,size-standard_swap-ant-S200-V150-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.471291542363659,-7.897845434759035,cf,-0.5734461076046236,200,150
standard_swap:t1,-8.879150366178303,-9.77844235054148,,10,ant,,,,small,standard_swap,True,1.9550386766835048,bias_corrected,small,-0.009536651136853536,1.9455020255466513,size-standard_swap-ant-S90-V30-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.888687017315156,-7.832940324994829,base,1.0557466923203274,90,30
standard_swap:t1,-8.879150366178303,-9.77844235054148,,10,ant,,,,large,standard_swap,True,-1.9952349816922341,bias_corrected,small,0.28671473828603844,2.2819497199782726,size-standard_swap-ant-S90-V30-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.592435627892264,-7.496492630563208,cf,-1.0959429973290566,90,30
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,1.7177532570918679,bias_corrected,small,0.19513741216998604,1.912890669261854,size-standard_swap-ant-S900-V300-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.684012954008317,-7.8655516812796265,base,0.8184612727286904,900,300
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.816917513725457,bias_corrected,small,0.1838043603190158,2.0007218740444728,size-standard_swap-ant-S900-V300-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.695346005859287,-7.777720476497008,cf,-0.9176255293622795,900,300
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,1.8277667848075838,bias_corrected,small,0.23745997965096421,2.065226764458548,size-standard_swap-ant-S999-V150-small_to_large-mextreme-t1,False,extreme,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.641690386527339,-7.713215586082932,base,0.9284748004444063,999,150
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.472738091967801,bias_corrected,small,0.4078588238146441,1.8805969157824451,size-standard_swap-ant-S999-V150-small_to_large-mextreme-t1,False,extreme,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.471291542363659,-7.897845434759035,cf,-0.5734461076046236,999,150
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,human,,,,small,standard_swap,True,2.2720575251303945,bias_corrected,small,0.1780779037581155,2.45013542888851,size-standard_swap-human-S102-V101-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.701072462420187,-7.32830692165297,base,1.372765540767217,102,101
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,human,,,,large,standard_swap,True,-2.049266417232209,bias_corrected,small,0.3957635754026576,2.4450299926348666,size-standard_swap-human-S102-V101-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.483386790775645,-7.333412357906614,cf,-1.1499744328690316,102,101
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,human,,,,small,standard_swap,True,1.4868354586420836,bias_corrected,small,0.723711557856733,2.2105470164988166,size-standard_swap-human-S120-V110-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.15543880832157,-7.567895334042664,base,0.5875434742789061,120,110
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,human,,,,large,standard_swap,True,-1.4243206086874842,bias_corrected,small,0.6410594658767526,2.065380074564237,size-standard_swap-human-S120-V110-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.23809090030155,-7.713062275977244,cf,-0.5250286243243067,120,110
standard_swap:t1,-8.879150366178303,-9.77844235054148,,50,human,,,,small,standard_swap,True,1.3150442342252475,bias_corrected,small,0.710982224621592,2.0260264588468395,size-standard_swap-human-S75-V61-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.168168141556711,-7.752415891694641,base,0.41575224986207004,75,61
standard_swap:t1,-8.879150366178303,-9.77844235054148,,50,human,,,,large,standard_swap,True,-1.3711248855919962,bias_corrected,small,0.8449770407276418,2.216101926319638,size-standard_swap-human-S75-V61-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.034173325450661,-7.562340424221842,cf,-0.4718329012288187,75,61
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,human,,,,small,standard_swap,True,1.499348331062115,bias_corrected,small,0.6257835086820442,2.125131839744159,size-standard_swap-human-S150-V125-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.253366857496259,-7.653310510797321,base,0.6000563466989375,150,125
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,human,,,,large,standard_swap,True,-1.4465746844080254,bias_corrected,small,0.6116287729224865,2.058203457330512,size-standard_swap-human-S150-V125-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.267521593255816,-7.7202388932109685,cf,-0.5472827000448479,150,125
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,human,,,,small,standard_swap,True,1.1907629310555645,bias_corrected,small,0.5461363908156951,1.7368993218712596,size-standard_swap-human-S200-V150-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.333013975362608,-8.04154302867022,base,0.29147094669238705,200,150
standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,human,,,,large,standard_swap,True,-1.249710734932549,bias_corrected,small,0.49411364428538995,1.7438243792179389,size-standard_swap-human-S200-V150-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.385036721892913,-8.034617971323541,cf,-0.35041875056937144,200,150
standard_swap:t1,-8.879150366178303,-9.77844235054148,,10,human,,,,small,standard_swap,True,1.1518072039091942,bias_corrected,small,0.6544244721367694,1.8062316760459636,size-standard_swap-human-S90-V30-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.224725894041534,-7.972210674495517,base,0.25251521954601674,90,30
standard_swap:t1,-8.879150366178303,-9.77844235054148,,10,human,,,,large,standard_swap,True,-1.5020248520940624,bias_corrected,small,0.48563631800230844,1.9876611700963709,size-standard_swap-human-S90-V30-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,standard_span,small,,cf_gate_pred_small_expected_large,-8.393514048175994,-7.7907811804451095,cf,-0.602732867730885,90,30
