abs_log_ratio,bias_context,bias_large,bias_small,cf_class_name,cf_standard_cm,class_name,conflict_direction,conflict_receiver_id,donor_kind,expected_label,family,gate_asserted,gate_margin,gate_mode,gate_pred_label,gate_score_large,gate_score_small,item_id,kept,margin_bin,model,model_slug,monotonicity_direction,patch_span,penumbra_axis,penumbra_soft_gate,penumbral_relation,pred_label,rank_in_chain,receiver_group_id,reject_reason,score_large,score_small,side,size_margin,standard_cm,value_cm,value_pair_id
0.009852296443011594,standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,2.323920846216568,bias_corrected,small,-0.11721597359422375,2.2067048726223444,size-standard_swap-ant-S102-V101-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.996366339772527,-7.571737477919136,base,1.4246288618533907,102,101,
0.009950330853168092,standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.5674842287335773,bias_corrected,small,0.3537023072261576,1.9211865359597349,size-standard_swap-ant-S102-V101-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.525448058952145,-7.8572558145817455,cf,-0.6681922443703998,102,101,
0.08701137698962981,standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,1.7796292222429058,bias_corrected,small,0.17196480088803945,1.9515940231309452,size-standard_swap-ant-S120-V110-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.707185565290263,-7.826848327410535,base,0.8803372378797283,120,110,
0.09531017980432493,standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.2114972370894392,bias_corrected,small,0.5380079536183207,1.74950519070776,size-standard_swap-ant-S120-V110-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.341142412559982,-8.02893715983372,cf,-0.31220525272626176,120,110,
0.20661424936299916,standard_swap:t1,-8.879150366178303,-9.77844235054148,,50,ant,,,,small,standard_swap,True,1.5622449216451058,bias_corrected,small,0.574511313787939,2.1367562354330447,size-standard_swap-ant-S75-V61-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.304639052390364,-7.641686115108436,base,0.6629529372819283,75,61,
0.19885085874516517,standard_swap:t1,-8.879150366178303,-9.77844235054148,,50,ant,,,,large,standard_swap,True,-1.4860222439714974,bias_corrected,small,0.7291456953434441,2.2151679393149415,size-standard_swap-ant-S75-V61-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.150004670834859,-7.563274411226539,cf,-0.5867302596083199,75,61,
0.1823215567939546,standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,1.8057972478002533,bias_corrected,small,0.14282723991165014,1.9486244877119034,size-standard_swap-ant-S150-V125-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.736323126266653,-7.829817862829577,base,0.9065052634370758,150,125,
0.22314355131420976,standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.524496439266315,bias_corrected,small,0.4283277775032843,1.9528242167695993,size-standard_swap-ant-S150-V125-small_to_large-mborderline-t1,False,borderline,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.450822588675019,-7.825618133771881,cf,-0.6252044549031375,150,125,
0.2876820724517809,standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,small,standard_swap,True,1.7188690185388626,bias_corrected,small,0.2936125414923687,2.0124815600312314,size-standard_swap-ant-S200-V150-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.585537824685934,-7.765960790510249,base,0.8195770341756852,200,150,
0.4054651081081644,standard_swap:t1,-8.879150366178303,-9.77844235054148,,100,ant,,,,large,standard_swap,True,-1.472738091967801,bias_corrected,small,0.4078588238146441,1.8805969157824451,size-standard_swap-ant-S200-V150-small_to_large-mclear-t1,False,clear,Qwen/Qwen2.5-3B,qwen_qwen2_5_3b,,standard_span,,False,,small,,,cf_gate_pred_small_expected_large,-8.471291542363659,-7.897845434759035,cf,-0.5734461076046236,200,150,
